phrase_line_number,microsoft_id
1,1089874
2,1089925
3,3019446
4,3019327
5,1945605
6,1945824
7,1430402
8,1430329
9,3354381
10,3354396
11,1390995
12,1391183
13,2201401
14,2201285
15,2453843
16,2453998
17,1756630
18,1756502
19,938878
20,938896
21,2357153
22,2357114
23,2760337
24,2760373
25,3447768
26,3447857
27,173848
28,173787
29,1756397
30,1756332
31,749900
32,749726
33,501917
34,501968
35,356718
36,356778
37,1083541
38,1083857
39,1090263
40,1090673
41,666617
42,666675
43,2299642
44,2299604
45,2878218
46,2878204
47,1758014
48,1758028
49,149718
50,149404
51,3018662
52,3018965
53,2444603
54,2444722
55,356716
56,356884
57,2535248
58,2535076
59,1811569
60,1811633
61,956105
62,956277
63,1558644
64,1558584
65,659710
66,660044
67,1268500
68,1268733
69,197693
70,197750
71,2226418
72,2226158
73,2191765
74,2192036
75,2455974
76,2455938
77,816693
78,816490
79,198581
80,198842
81,69590
82,69792
83,2226059
84,2226265
85,1012095
86,1012246
87,2320049
88,2320007
89,1908431
90,1908277
91,2594779
92,2595060
93,173717
94,173841
95,2963161
96,2963103
97,2375809
98,2375778
99,3298856
100,3298813
101,3052031
102,3052077
103,546923
104,546915
105,1853823
106,1853477
107,3417894
108,3417817
109,3026089
110,3026070
111,1618799
112,1619119
113,842299
114,842482
115,2795276
116,2795258
117,2452146
118,2452300
119,1596213
120,1596237
121,420631
122,420719
123,2597390
124,2597503
125,2152575
126,2152598
127,1704383
128,1704087
129,1587838
130,1587560
131,3099593
132,3099626
133,459714
134,459611
135,2636620
136,2636688
137,172379
138,172538
139,389027
140,388939
141,1305621
142,1305775
143,276515
144,276501
145,1617861
146,1617809
147,3063295
148,3063680
149,1398956
150,1398777
151,1401946
152,1401697
153,98645
154,98414
155,3113657
156,3113590
157,2930352
158,2930380
159,2467229
160,2467352
161,1081112
162,1081199
163,1782395
164,1782413
165,1246493
166,1246786
167,41193
168,41211
169,1433616
170,1433454
171,1614192
172,1614332
173,228991
174,229263
175,459228
176,458802
177,1392369
178,1392292
179,479412
180,479618
181,1564390
182,1564515
183,1796642
184,1796689
185,3099578
186,3099683
187,1657996
188,1657704
189,2632867
190,2632821
191,1263127
192,1263344
193,246757
194,246805
195,1552072
196,1551932
197,1669205
198,1669254
199,315656
200,315787
201,1831381
202,1831491
203,864267
204,864579
205,3119490
206,3119464
207,1378004
208,1378107
209,266876
210,266783
211,1195775
212,1195697
213,1958143
214,1958023
215,1626524
216,1626556
217,1694560
218,1694514
219,1945483
220,1945409
221,2689148
222,2689306
223,633874
224,633767
225,715991
226,716184
227,2636303
228,2636440
229,361266
230,361184
231,2929557
232,2929563
233,878767
234,878534
235,1479611
236,1479716
237,44397
238,44620
239,2359452
240,2359376
241,203291
242,203344
243,2007119
244,2007087
245,2792884
246,2792738
247,629417
248,628975
249,3364032
250,3364117
251,1676486
252,1676574
253,2313560
254,2313548
255,2375777
256,2375808
257,1363194
258,1362857
259,2815705
260,2815885
261,1691429
262,1691605
263,396175
264,396035
265,2287353
266,2287336
267,2904808
268,2904964
269,3046537
270,3046639
271,146113
272,146126
273,2020349
274,2020588
275,2196877
276,2196798
277,3422853
278,3422916
279,1761421
280,1761551
281,2609667
282,2609889
283,1596087
284,1596024
285,274229
286,274136
287,774520
288,774298
289,2968215
290,2968166
291,2532424
292,2532313
293,1821373
294,1821723
295,2384731
296,2384653
297,816341
298,816360
299,855331
300,855107
301,2425559
302,2425606
303,716894
304,716603
305,3286477
306,3286335
307,1320606
308,1320498
309,1089463
310,1089519
311,3256383
312,3256410
313,715320
314,715197
315,833153
316,833193
317,2836872
318,2837029
319,1408377
320,1408706
321,3073750
322,3073779
323,1611763
324,1611723
325,3265736
326,3265630
327,1819056
328,1819124
329,278163
330,278382
331,1510296
332,1510225
333,345963
334,345901
335,820900
336,820927
337,881153
338,881309
339,2224082
340,2223823
341,1630597
342,1630669
343,2678860
344,2678895
345,2482005
346,2481972
347,1438073
348,1438024
349,1703392
350,1703451
351,2526928
352,2526952
353,2759792
354,2759807
355,191346
356,191536
357,1789073
358,1788780
359,2216664
360,2216689
361,3300416
362,3300721
363,1479753
364,1479819
365,1183817
366,1183688
367,1730650
368,1730772
369,1462786
370,1463120
371,1921865
372,1921879
373,2276459
374,2276361
375,1926146
376,1926126
377,1793425
378,1793488
379,2195721
380,2195937
381,969671
382,969584
383,746177
384,746211
385,2011656
386,2011796
387,2384647
388,2384724
389,3447348
390,3447301
391,3334681
392,3334887
393,969380
394,969673
395,1571035
396,1571099
397,607096
398,607222
399,91457
400,91527
401,1146450
402,1146484
403,2749203
404,2749190
405,423227
406,423244
407,2702505
408,2702695
409,2813342
410,2813365
411,1116621
412,1116661
413,1050718
414,1050632
415,2924620
416,2925014
417,2622075
418,2622719
419,209615
420,209601
421,2133905
422,2134140
423,232432
424,232716
425,2670301
426,2670231
427,545926
428,545817
429,399715
430,399588
431,214786
432,214456
433,731753
434,731593
435,1705093
436,1704989
437,451540
438,451590
439,3314564
440,3314185
441,804259
442,804115
443,2195121
444,2195141
445,2939979
446,2939941
447,3014165
448,3014133
449,379579
450,379458
451,481929
452,481981
453,2787375
454,2787404
455,1980126
456,1980211
457,3299227
458,3299188
459,1669277
460,1669222
461,3125018
462,3124927
463,2025802
464,2025681
465,2357216
466,2357196
467,3190817
468,3190834
469,616279
470,616223
471,1653584
472,1653844
473,2488322
474,2488374
475,1809432
476,1809422
477,1296641
478,1296436
479,460136
480,460201
481,826466
482,826607
483,763636
484,763618
485,2876861
486,2876951
487,3372291
488,3372332
489,1687490
490,1687430
491,1369754
492,1369906
493,881734
494,882010
495,1413741
496,1413711
497,3159653
498,3159764
499,3411418
500,3411820
501,1784474
502,1784513
503,684307
504,684050
505,830829
506,830805
507,3434409
508,3434578
509,770328
510,770414
511,1134743
512,1134948
513,2173497
514,2173632
515,1090499
516,1090289
517,2228840
518,2228717
519,2132227
520,2132275
521,390511
522,390658
523,2222267
524,2222353
525,3085916
526,3085789
527,1907709
528,1907769
529,1675037
530,1675047
531,121931
532,122054
533,3168654
534,3168714
535,3052789
536,3052812
537,2536332
538,2536313
539,1707805
540,1707851
541,2980398
542,2980147
543,554867
544,554875
545,1134101
546,1133958
547,2472857
548,2472830
549,2546948
550,2547079
551,1398658
552,1398617
553,3353902
554,3353811
555,2332632
556,2333026
557,3254081
558,3254131
559,1268485
560,1268448
561,2173289
562,2173179
563,496011
564,496262
565,2724265
566,2724346
567,781404
568,781423
569,2906103
570,2906321
571,509471
572,509095
573,2550244
574,2550413
575,2562645
576,2562631
577,1729744
578,1729706
579,395559
580,395451
581,1989164
582,1989348
583,612172
584,612073
585,3287079
586,3287709
587,3351573
588,3351167
589,2818485
590,2818521
591,422580
592,422428
593,1639902
594,1640247
595,1479563
596,1479819
597,3313504
598,3313769
599,2321397
600,2321451
601,172945
602,172742
603,2472825
604,2472863
605,969586
606,969512
607,1953291
608,1953412
609,2679022
610,2679221
611,510887
612,510855
613,2484349
614,2484160
615,1501925
616,1502094
617,813244
618,813532
619,2749311
620,2749444
621,3102010
622,3102052
623,1864807
624,1864926
625,2607409
626,2607529
627,2795949
628,2795974
629,636412
630,636322
631,1163497
632,1163395
633,276404
634,276122
635,666238
636,666192
637,960861
638,960916
639,2089677
640,2089938
641,2083437
642,2083550
643,342605
644,342611
645,2030918
646,2030878
647,3267232
648,3267338
649,1694591
650,1694663
651,3304690
652,3304606
653,2553132
654,2553328
655,2155800
656,2156091
657,375576
658,375682
659,2155884
660,2155607
661,1322386
662,1322404
663,2524292
664,2524149
665,3326118
666,3325997
667,1625195
668,1625499
669,1830745
670,1831002
671,1524868
672,1524905
673,851678
674,851911
675,54823
676,55177
677,392771
678,392701
679,1987428
680,1987385
681,711871
682,711923
683,1443641
684,1443672
685,2221841
686,2221884
687,2830817
688,2830766
689,134455
690,134545
691,2060262
692,2060225
693,3185726
694,3185754
695,2378827
696,2378888
697,2893299
698,2893356
699,2080922
700,2080979
701,3251501
702,3251262
703,2636300
704,2636438
705,226395
706,226669
707,488404
708,488310
709,1617617
710,1617714
711,490221
712,490032
713,408572
714,408628
715,1549628
716,1549570
717,2458335
718,2458449
719,1123369
720,1123468
721,1702735
722,1702711
723,1394508
724,1394489
725,2493378
726,2493420
727,645180
728,645536
729,1140025
730,1140085
731,1953409
732,1953285
733,869241
734,869208
735,633875
736,633744
737,3190211
738,3190134
739,1643243
740,1643049
741,3058482
742,3058386
743,3384269
744,3383800
745,713992
746,713965
747,2425362
748,2425341
749,1201425
750,1201329
751,222535
752,222564
753,1039162
754,1038840
755,3436639
756,3436708
757,1124284
758,1124161
759,1479538
760,1479819
761,2858180
762,2858100
763,1044270
764,1044301
765,1151084
766,1151062
767,2885844
768,2885779
769,3014157
770,3014190
771,787889
772,788223
773,512322
774,511968
775,867716
776,867754
777,618359
778,617945
779,126662
780,126748
781,1908352
782,1908458
783,1785196
784,1785461
785,2173826
786,2173501
787,2375776
788,2375807
789,269089
790,268884
791,2537987
792,2538021
793,2980690
794,2980538
795,1027143
796,1027507
797,130265
798,129786
799,261718
800,261828
801,2776609
802,2776659
803,261957
804,261729
805,925534
806,925489
807,1478533
808,1478601
809,725698
810,725404
811,2484347
812,2484159
813,1607342
814,1607469
815,243700
816,243946
817,1240372
818,1240326
819,1983012
820,1983180
821,1088209
822,1088238
823,1703443
824,1703477
825,941626
826,941679
827,3085927
828,3085530
829,2746528
830,2746712
831,1140029
832,1140085
833,1787122
834,1787292
835,3450953
836,3450981
837,2902707
838,2902760
839,1813375
840,1813388
841,2971556
842,2971759
843,3119302
844,3119544
845,981815
846,981922
847,1496052
848,1496255
849,572164
850,571428
851,2713980
852,2713709
853,959616
854,959471
855,1912529
856,1912650
857,633744
858,633768
859,3313165
860,3313141
861,2122040
862,2121820
863,3385867
864,3385835
865,1657140
866,1657002
867,318215
868,318353
869,2473394
870,2473357
871,1258288
872,1258190
873,742244
874,742119
875,3085148
876,3085019
877,432116
878,432164
879,539350
880,539637
881,2160920
882,2161366
883,2442948
884,2442826
885,1518074
886,1518108
887,1284177
888,1284077
889,1591389
890,1591595
891,600786
892,600523
893,1245561
894,1245666
895,2734483
896,2734397
897,3289732
898,3289629
899,3306149
900,3306053
901,1318034
902,1318119
903,3354775
904,3354759
905,1111786
906,1111709
907,806505
908,806865
909,1479862
910,1479870
911,2071990
912,2072141
913,1970415
914,1970732
915,2928566
916,2928606
917,1239932
918,1239812
919,1092090
920,1091918
921,1240213
922,1240330
923,2720187
924,2720172
925,3259695
926,3259744
927,1657875
928,1658028
929,1563816
930,1563592
931,99378
932,99324
933,692176
934,692246
935,654702
936,654683
937,2725718
938,2725646
939,240075
940,240044
941,427005
942,427281
943,2124302
944,2124451
945,229259
946,228827
947,1171535
948,1171893
949,1201093
950,1201040
951,545928
952,545817
953,3128200
954,3128160
955,1554315
956,1554352
957,1196117
958,1196011
959,842171
960,842236
961,246576
962,246511
963,1629901
964,1629398
965,2588886
966,2588780
967,769049
968,769025
969,1924883
970,1924416
971,1550877
972,1550897
973,1977046
974,1977184
975,644153
976,643714
977,173736
978,173905
979,209859
980,209757
981,2158247
982,2158067
983,1459781
984,1459802
985,2905479
986,2905361
987,3447773
988,3447850
989,2527795
990,2527755
991,1348907
992,1348952
993,703823
994,703995
995,1075005
996,1075021
997,1948542
998,1948502
999,1849873
1000,1849903
1001,986840
1002,986695
1003,3230905
1004,3231041
1005,2906716
1006,2906796
1007,2768372
1008,2768324
1009,2891359
1010,2891275
1011,131134
1012,131308
1013,1051279
1014,1050975
1015,212622
1016,212672
1017,629297
1018,629322
1019,3377001
1020,3376977
1021,1720973
1022,1721003
1023,2989427
1024,2989456
1025,1496938
1026,1496946
1027,388576
1028,388649
1029,562108
1030,561820
1031,1223198
1032,1223139
1033,2208440
1034,2208642
1035,3021619
1036,3021518
1037,36547
1038,36623
1039,345699
1040,345719
1041,1010013
1042,1010046
1043,2493925
1044,2493892
1045,1661881
1046,1662136
1047,1879236
1048,1879339
1049,2467992
1050,2467952
1051,3014177
1052,3014143
1053,467296
1054,467042
1055,1567595
1056,1567650
1057,1243432
1058,1243445
1059,2370245
1060,2370426
1061,3331545
1062,3331648
1063,1929176
1064,1929167
1065,599678
1066,599554
1067,745950
1068,746180
1069,1737548
1070,1737488
1071,2095818
1072,2095799
1073,2484044
1074,2483683
1075,1604217
1076,1604154
1077,3438458
1078,3438444
1079,1439347
1080,1439293
1081,399170
1082,399276
1083,1958452
1084,1958519
1085,2178827
1086,2178795
1087,1280917
1088,1281225
1089,3001423
1090,3001446
1091,1146295
1092,1146253
1093,2414342
1094,2414213
1095,173779
1096,173846
1097,1114165
1098,1114068
1099,2337960
1100,2338068
1101,237239
1102,237465
1103,663480
1104,663544
1105,460144
1106,460211
1107,1809293
1108,1809194
1109,859489
1110,859427
1111,3131671
1112,3131687
1113,210694
1114,211119
1115,347483
1116,347458
1117,2827192
1118,2827205
1119,2486728
1120,2486654
1121,684938
1122,684972
1123,826609
1124,826468
1125,1279867
1126,1279906
1127,1091178
1128,1091235
1129,1293239
1130,1293439
1131,2085113
1132,2085096
1133,1739449
1134,1739474
1135,2559956
1136,2559939
1137,349935
1138,350009
1139,911563
1140,911587
1141,2123347
1142,2123494
1143,2108887
1144,2108868
1145,1967671
1146,1967592
1147,1044800
1148,1044829
1149,1716178
1150,1716087
1151,2009590
1152,2009633
1153,573366
1154,573506
1155,1618261
1156,1618195
1157,500945
1158,500912
1159,437728
1160,437769
1161,1074997
1162,1075018
1163,2641995
1164,2641936
1165,544329
1166,544220
1167,1702219
1168,1702411
1169,3319119
1170,3319133
1171,1260943
1172,1261266
1173,936700
1174,936522
1175,2788889
1176,2788678
1177,1596214
1178,1596238
1179,2553134
1180,2553332
1181,1075397
1182,1075758
1183,3100597
1184,3100573
1185,1054536
1186,1054676
1187,1458234
1188,1458108
1189,2098594
1190,2098915
1191,53672
1192,53604
1193,2673112
1194,2673141
1195,1091232
1196,1091267
1197,1107385
1198,1107297
1199,3414486
1200,3414521
1201,1559172
1202,1559081
1203,2214085
1204,2214019
1205,327365
1206,327455
1207,863191
1208,863225
1209,3068989
1210,3068932
1211,2202632
1212,2202780
1213,3046212
1214,3046273
1215,1559085
1216,1559178
1217,1805630
1218,1805435
1219,246694
1220,246679
1221,1485635
1222,1485610
1223,1342925
1224,1343185
1225,2692086
1226,2691868
1227,283697
1228,283287
1229,2521741
1230,2521730
1231,69795
1232,69776
1233,2706235
1234,2706274
1235,267366
1236,267390
1237,1605338
1238,1605488
1239,3042078
1240,3042062
1241,2179041
1242,2179199
1243,1120715
1244,1120672
1245,516813
1246,516884
1247,633901
1248,633768
1249,2152533
1250,2152746
1251,2560904
1252,2560923
1253,2011657
1254,2011797
1255,556825
1256,556733
1257,2798926
1258,2798877
1259,2493883
1260,2493851
1261,2763716
1262,2763600
1263,1516698
1264,1516745
1265,2249306
1266,2249238
1267,572627
1268,572552
1269,427417
1270,427398
1271,660856
1272,660825
1273,1884056
1274,1884017
1275,2362684
1276,2362743
1277,3233010
1278,3232953
1279,243948
1280,243899
1281,758196
1282,758501
1283,303962
1284,304113
1285,2691686
1286,2691676
1287,1924385
1288,1924800
1289,638873
1290,638787
1291,1338202
1292,1338220
1293,782729
1294,782569
1295,1655566
1296,1655531
1297,1117439
1298,1117424
1299,1580610
1300,1580733
1301,75618
1302,75659
1303,2367272
1304,2367026
1305,42183
1306,42210
1307,784495
1308,784141
1309,1500312
1310,1500289
1311,1890014
1312,1889885
1313,1318419
1314,1318680
1315,2257896
1316,2257711
1317,1907420
1318,1907308
1319,748620
1320,748510
1321,1268446
1322,1268498
1323,2405094
1324,2405072
1325,2716543
1326,2716503
1327,3056744
1328,3056769
1329,2404779
1330,2404819
1331,1785254
1332,1785242
1333,2228916
1334,2228956
1335,529554
1336,529492
1337,953777
1338,953743
1339,401945
1340,402086
1341,62786
1342,62543
1343,1457976
1344,1457907
1345,1287681
1346,1287716
1347,1856960
1348,1856922
1349,2877244
1350,2877197
1351,1729704
1352,1729744
1353,2202636
1354,2202785
1355,2902077
1356,2902028
1357,1104700
1358,1104715
1359,2002876
1360,2003052
1361,1433591
1362,1433431
1363,2946635
1364,2946618
1365,759485
1366,759469
1367,3270328
1368,3270370
1369,3415995
1370,3416057
1371,2889933
1372,2889907
1373,1921451
1374,1921407
1375,3004566
1376,3004536
1377,1922104
1378,1922156
1379,2155055
1380,2154890
1381,2475829
1382,2475764
1383,2874753
1384,2874730
1385,1072119
1386,1072566
1387,2455734
1388,2455654
1389,2068468
1390,2068798
1391,549254
1392,549373
1393,2421566
1394,2421460
1395,938119
1396,938256
1397,1977693
1398,1977631
1399,1748344
1400,1748330
1401,1474151
1402,1474190
1403,113468
1404,113404
1405,655501
1406,655394
1407,1917198
1408,1917233
1409,2067814
1410,2067786
1411,1047951
1412,1048483
1413,1443670
1414,1443641
1415,1297328
1416,1297355
1417,1277464
1418,1277496
1419,1288358
1420,1288601
1421,1886
1422,2142
1423,3257025
1424,3257119
1425,1283865
1426,1284077
1427,100420
1428,100323
1429,299978
1430,299801
1431,547116
1432,547045
1433,784087
1434,784153
1435,1152817
1436,1152736
1437,518923
1438,518852
1439,134211
1440,134172
1441,1274113
1442,1274208
1443,3207359
1444,3207332
1445,2172962
1446,2173003
1447,367259
1448,367282
1449,3010054
1450,3010313
1451,27662
1452,27632
1453,2625130
1454,2625015
1455,921297
1456,921226
1457,258305
1458,258189
1459,3335828
1460,3335771
1461,84730
1462,84604
1463,941673
1464,941978
1465,356813
1466,356946
1467,1479864
1468,1479878
1469,684556
1470,684842
1471,1733146
1472,1733209
1473,2984179
1474,2984223
1475,2019201
1476,2019242
1477,2733800
1478,2733811
1479,1101775
1480,1101764
1481,229245
1482,228845
1483,2995466
1484,2995518
1485,2228735
1486,2228855
1487,1260001
1488,1259905
1489,1756545
1490,1756619
1491,2390771
1492,2390861
1493,671146
1494,670997
1495,3207968
1496,3208048
1497,2237209
1498,2237181
1499,3372342
1500,3372291
1501,1569217
1502,1569131
1503,3159669
1504,3159725
1505,2467171
1506,2467246
1507,3121942
1508,3121918
1509,1803903
1510,1803956
1511,271886
1512,271879
1513,801575
1514,801692
1515,2964174
1516,2964202
1517,1822303
1518,1822336
1519,2029881
1520,2029811
1521,2264152
1522,2264194
1523,3261182
1524,3261122
1525,818465
1526,818357
1527,378293
1528,378333
1529,629307
1530,628981
1531,3082461
1532,3082374
1533,387804
1534,388215
1535,1269483
1536,1269432
1537,3326097
1538,3326180
1539,68094
1540,68260
1541,3434277
1542,3434340
1543,2594744
1544,2594823
1545,3386410
1546,3386438
1547,1904049
1548,1904263
1549,1697702
1550,1697836
1551,2878348
1552,2878422
1553,1353348
1554,1353192
1555,2689642
1556,2689869
1557,1096757
1558,1096224
1559,1138564
1560,1138655
1561,780192
1562,780120
1563,2250098
1564,2250136
1565,2170844
1566,2170942
1567,2757181
1568,2757320
1569,512419
1570,512189
1571,3385872
1572,3385842
1573,2562801
1574,2562827
1575,3037512
1576,3037559
1577,385625
1578,385708
1579,1830919
1580,1830841
1581,867760
1582,867720
1583,3214302
1584,3214273
1585,2961878
1586,2961787
1587,3048783
1588,3048746
1589,2565307
1590,2565144
1591,1720114
1592,1720165
1593,2419549
1594,2419617
1595,1018728
1596,1018788
1597,1836337
1598,1836371
1599,2112937
1600,2113133
1601,1079378
1602,1079355
1603,1513800
1604,1513827
1605,3225824
1606,3225676
1607,2254228
1608,2254323
1609,191501
1610,191536
1611,1467951
1612,1467932
1613,1476228
1614,1476171
1615,2205262
1616,2205241
1617,550075
1618,550083
1619,612895
1620,612938
1621,673481
1622,673708
1623,788914
1624,789158
1625,555526
1626,555584
1627,267
1628,222
1629,3355582
1630,3355740
1631,939906
1632,939937
1633,689960
1634,690081
1635,124308
1636,124218
1637,2874558
1638,2874449
1639,3285256
1640,3285386
1641,246508
1642,246576
1643,490035
1644,490018
1645,872655
1646,872435
1647,2505004
1648,2504879
1649,279643
1650,279573
1651,2208492
1652,2208543
1653,2252343
1654,2252300
1655,1799420
1656,1798978
1657,896421
1658,896361
1659,2410405
1660,2410370
1661,161728
1662,161959
1663,2112310
1664,2112366
1665,498380
1666,498314
1667,921754
1668,921808
1669,1418704
1670,1418912
1671,1924472
1672,1924385
1673,1125872
1674,1125887
1675,1396925
1676,1396739
1677,1171278
1678,1171385
1679,1559205
1680,1559117
1681,2562633
1682,2562646
1683,2453621
1684,2453824
1685,221459
1686,221354
1687,2500731
1688,2500631
1689,3092820
1690,3093119
1691,835284
1692,835420
1693,2652307
1694,2652187
1695,1769142
1696,1769127
1697,3116919
1698,3116804
1699,3120430
1700,3120204
1701,612902
1702,612936
1703,3044479
1704,3044664
