 All staff members are very courteous and go the extra mile in meeting your needs during your stay .												 The staff was friendly and courtious and was happy to help when we asked .	 The staff was very friendly .	Very Nice Hotel Very Bad Staff .	Front Desk Staff were shockingly bad .	 The staff is always very helpful   .	front desk staff need customer service 101 .	" Staff was very, very professional  however, where is the smile ?"	Great Location and top notch Staff .
 All the staff at the hotel were the epitomy of politeness and professionalism .												 The staff at the hotel are very helpful and nice .	 Staff was friendly and accomodating .	Great Location horrible staff .	 Concierge staff were snooty and were not very helpful .	 Hotel staff were excellent in providing us assistance when needed .	The front desk staff was never very helpful when we had any requests for simple things .	" The staff was nice, but no smiling faces or hellos as you passed by ."	" The hotel is in a great location, the staff is friendly and very service, oriented ."
" All the staff we encountered, from doorman to desk lady who checked us in, to check out, was professional and courteous ."												" Very nice staff, who was friendly and helpful ."	 Welcoming and friendly staff !	"Great Facility and Location ,  So, So Staff ."		"The hotel staff were great, always on hand to help ."	 And the front desk staff dealt with folks with a general disdain   .	 Staff were professional but not very friendly and distanced .	Great Hotel Very Friendly Staff .
" And all of the the staff were very professional, courteous and friendly ."												We found the staff very pleasant and helpful .	 The staff was very friendly .	My one issue was with the staff .			" The other big gripe was with the reception staff, who were rude ."	" The staff was nice, but no smiling faces or hellos as you passed by ."	
" And due to the lack of a sign, you cannot indicate to the cleaning staff early in the day that the room is ready ."												 The staff was helpful and very polite and friendly .	" The hotel staff was very nice, from the moment we drove up ."	" If you dont mind the attitude of dealing with a rude staff, go for it ."			 The staff really need to take a class in interpersonal communication .		
" At check, in, the front desk staff member wasn't overly friendly, but certainly wasn't rude ."												 The staff seemed very helpful and friendly .	I remember the staff were friendly to us during our visit .				 The staff is quite unfriendly and unaccomodating .		
" At checkin, the staff never made eye contact and only went through the motions ."												" The staff was friendly, courtious, and helpful ."					" The staff at the front desk and the concierge were a bunch of snobs as well , ,  very arrogant ."		
 Bell staff was attentive and available .												 The staff was very pleasant and easy to talk to for any questions .							
 But the staff treat you like royalty .												 Every member of the staff was courteous and helpful .							
" Check, in and check, out were a breeze  , and the staff was just fine ."												 The staff was very friendly and helpful too .							
 Checkin was very swift and friendly staff explained everything very good .												The hotel staff was courteous and helpful .							
 Despite that we enjoyed our mini trip and loved the staff .												 We found the staff to be helpful and friendly .							
" Each time I waited at the counter for staff   for several minutes and then was waved to the desk upon my turn with no hello or anything, or apology for waiting in line ."												 The staff was polite and helpful .							
